,Apple,Bacon,Banana,Eggs,Milk,Shampoo,Soap,Sugar,Water,Yogurt
0,False,True,True,True,False,False,True,True,True,False
1,True,True,True,False,True,True,True,True,True,True
2,True,False,True,True,True,True,True,True,True,False
3,True,True,False,True,True,True,True,True,True,True
4,True,False,True,True,True,False,True,True,False,True
5,False,False,True,True,True,True,True,True,False,True
6,False,False,False,False,True,False,True,True,True,False
7,True,True,True,True,True,True,True,True,True,True
8,False,False,False,False,False,True,False,False,False,False
9,True,True,False,True,True,False,True,True,True,True
10,True,True,False,True,True,True,False,False,True,True
11,False,False,False,True,True,False,True,False,False,False
12,False,True,False,True,True,True,True,False,False,False
13,False,False,False,False,False,False,True,False,False,False
14,True,True,True,True,True,True,False,True,False,True
15,True,True,True,True,True,True,True,True,True,True
16,False,False,False,True,False,True,False,False,False,False
17,True,True,False,False,True,False,True,False,False,False
18,True,True,True,False,True,True,True,True,True,True
19,True,True,False,True,False,True,True,True,False,True
